TABLE	"36 36 36"	"36 36 36"	"36 36 36"	"73 73 73"	"73 73 73"	"73 73 73"	"146 146 146"	"146 146 146"	"146 146 146"	"292 292 292"	"292 292 292"	"292 292 292"	"210 210 210"	"210 210 210"	"210 210 210"	"525 525 525"	"525 525 525"	"525 525 525"	"500 500 100"	"500 500 100"	"500 500 100"
1	4.3025424000	4.2251834334	4.3799013666	5.8459859000	5.7674688163	5.9245029837	4.0975075000	4.0841472995	4.1108677005	4.0620181000	4.0539163398	4.0701198602	4.0168835000	3.9987723647	4.0349946353	2.2437858000	2.2419194214	2.2456521786	3.9909496000	3.9832858970	3.9986133030	
2	6.9131918000	6.8578228688	6.9685607312	8.8569003000	8.8266387591	8.8871618409	6.4535864000	6.4418291876	6.4653436124	6.5590901000	6.5544679500	6.5637122500	6.5086906000	6.4992933023	6.5180878977	4.4707397000	4.4702350855	4.4712443145	6.3815301000	6.3768828110	6.3861773890	
4	8.3902983000	8.3597069921	8.4208896079	9.8143030000	9.8004944395	9.8281115605	8.4816854000	8.4766253557	8.4867454443	8.5170134000	8.5070140024	8.5270127976	8.4953721000	8.4864549433	8.5042892567	8.5215076000	8.5133249118	8.5296902882	8.5467526000	8.5413493860	8.5521558140	
8	9.1031366000	9.0247390334	9.1815341666	11.8299844000	11.8215165631	11.8384522369	11.7447332000	11.7307213204	11.7587450796	11.9590999000	11.9392603293	11.9789394707	11.8429744000	11.8272651451	11.8586836549	12.5141674000	12.4980657886	12.5302690114	11.7308258000	11.7135949063	11.7480566937	
10	9.8022121000	9.7703798211	9.8340443789	13.3208942000	13.2715098420	13.3702785580	13.2975673000	13.2621236065	13.3330109935	13.7330512000	13.7064051842	13.7596972158	13.5259035000	13.5024830681	13.5493239319	14.1772548000	14.1387994924	14.2157101076	13.4725800000	13.4491043796	13.4960556204	
16	8.9059812000	8.6756440533	9.1363183467	13.9111047000	13.6634430748	14.1587663252	13.0838304000	11.3982020778	14.7694587222	15.9114959000	15.5124492788	16.3105425212	14.8049304000	14.3718359431	15.2380248569	13.5331754000	13.3108345091	13.7555162909	14.8899648000	14.5079470614	15.2719825386	
20	8.6232295000	8.4921391762	8.7543198238	14.2016799000	13.8062367652	14.5971230348	14.8352432000	13.6797751326	15.9907112674	17.1498434000	16.8779868802	17.4216999198	15.8237343000	15.4708110356	16.1766575644	14.0568891000	13.8739733721	14.2398048279	16.5201504000	16.3051363789	16.7351644211	
