TABLE	"441 441"	"441 441"	"441 441"	"883 883"	"883 883"	"883 883"	"1767 1767"	"1767 1767"	"1767 1767"	"3534 3534"	"3534 3534"	"3534 3534"	"3000 3000"	"3000 3000"	"3000 3000"
1	2.1284490000	2.1071177522	2.1497802478	1.7913965000	1.7781147626	1.8046782374	1.7646496000	1.7507694080	1.7785297920	1.7584105000	1.7460268235	1.7707941765	1.7465221000	1.7332298544	1.7598143456	
2	4.1452515000	4.1249220841	4.1655809159	3.4009714000	3.3933620524	3.4085807476	3.3492775000	3.3356311369	3.3629238631	3.3491310000	3.3405380575	3.3577239425	3.3169222000	3.3047197474	3.3291246526	
4	7.9732027000	7.9069181692	8.0394872308	6.0076469000	5.9894890509	6.0258047491	6.0562741000	6.0436125041	6.0689356959	6.0779926000	6.0708160326	6.0851691674	6.0645704000	6.0388271996	6.0903136004	
8	14.9940478000	14.8670754283	15.1210201717	8.2006078000	8.1883575398	8.2128580602	8.3326779000	8.3205603063	8.3447954937	8.4357224000	8.4312072995	8.4402375005	8.3932160000	8.3893147742	8.3971172258	
10	18.5638761000	18.2972980767	18.8304541233	8.3253287000	8.3062143036	8.3444430964	8.4998126000	8.4906607113	8.5089644887	8.5683064000	8.5650417736	8.5715710264	8.5493349000	8.5428090040	8.5558607960	
16	23.1530119000	22.3993344385	23.9066893615	8.4222964000	8.1244334227	8.7201593773	8.8945220000	8.7811189261	9.0079250739	8.5703415000	8.2484165955	8.8922664045	9.0430987000	8.8470911306	9.2391062694	
20	25.9190886000	23.9161807335	27.9219964665	8.6228718000	8.2629631415	8.9827804585	8.6151794000	8.4124389533	8.8179198467	9.1383069000	8.9165433945	9.3600704055	9.1597665000	8.8291622247	9.4903707753	
