TABLE	"441 441"	"441 441"	"441 441"	"883 883"	"883 883"	"883 883"	"1767 1767"	"1767 1767"	"1767 1767"	"3534 3534"	"3534 3534"	"3534 3534"	"3000 3000"	"3000 3000"	"3000 3000"	"12000 12000"	"12000 12000"	"12000 12000"	"40000 500"	"40000 500"	"40000 500"
1	3.9848900000	3.9272559597	4.0425240403	4.2794961000	4.2373163578	4.3216758422	3.0053984000	2.9947695724	3.0160272276	3.0258328000	3.0054899660	3.0461756340	2.9440889000	2.9401081849	2.9480696151	2.5629729000	2.5533651798	2.5725806202	3.3398026000	3.3276417169	3.3519634831	
2	5.5781170000	5.5420604463	5.6141735537	6.1094811000	6.0580895503	6.1608726497	4.7415367000	4.7300846465	4.7529887535	4.7691299000	4.7645742602	4.7736855398	4.7348161000	4.7258065530	4.7438256470	4.5788943000	4.5627562735	4.5950323265	4.3694205000	4.3554037666	4.3834372334	
4	9.3963017000	9.3618841678	9.4307192322	10.2583642000	10.2040194476	10.3127089524	7.8292013000	7.8079903680	7.8504122320	7.9052251000	7.8979355701	7.9125146299	7.8694773000	7.8577681976	7.8811864024	7.9621711000	7.9517346031	7.9726075969	6.9737068000	6.9560164650	6.9913971350	
8	12.0986264000	11.6645445285	12.5327082715	14.3668813000	13.8109681278	14.9227944722	10.1419039000	10.1024398907	10.1813679093	10.0486857000	10.0120318445	10.0853395555	10.0182297000	9.9502225688	10.0862368312	9.9443028000	9.9317206451	9.9568849549	9.7277868000	9.6971114214	9.7584621786	
10	13.4410014000	13.0728400095	13.8091627905	15.7230697000	15.4006218316	16.0455175684	10.1206349000	10.0847424326	10.1565273674	10.1571814000	10.1316324869	10.1827303131	10.0521759000	10.0013988993	10.1029529007	9.9385165000	9.9282665264	9.9487664736	9.9347860000	9.9073759741	9.9621960259	
16	8.4260826000	8.2930451663	8.5591200337	9.3777586000	8.7312108502	10.0243063498	9.0409126000	8.5697158303	9.5121093697	9.4047407000	9.1945074929	9.6149739071	8.9491255000	8.7326829909	9.1655680091	9.3008815000	9.0205796728	9.5811833272	8.2708942000	8.0457289240	8.4960594760	
20	9.0252831000	8.8686040316	9.1819621684	10.2414040000	9.9591545583	10.5236534417	10.1267576000	9.5364200069	10.7170951931	9.2588437000	8.8436017051	9.6740856949	9.5788298000	9.3253999377	9.8322596623	9.5707390000	9.4482102843	9.6932677157	7.9327436000	7.5687382683	8.2967489317	
