TABLE	"441 441"	"441 441"	"441 441"	"883 883"	"883 883"	"883 883"	"1767 1767"	"1767 1767"	"1767 1767"	"3534 3534"	"3534 3534"	"3534 3534"	"3000 3000"	"3000 3000"	"3000 3000"	"12000 12000"	"12000 12000"	"12000 12000"	"40000 500"	"40000 500"	"40000 500"
1	6.9498595000	6.7974771014	7.1022418986	7.5709577000	7.5351562721	7.6067591279	3.6538153000	3.6315534084	3.6760771916	3.3740634000	3.3644667843	3.3836600157	3.4778676000	3.4700087686	3.4857264314	3.1132882000	3.1123162298	3.1142601702	3.8756021000	3.8725568227	3.8786473773	
2	7.5878494000	7.5141613057	7.6615374943	8.6496464000	8.5884958137	8.7107969863	5.5846069000	5.5593530894	5.6098607106	5.6049139000	5.5836510455	5.6261767545	5.6516274000	5.6427066986	5.6605481014	5.3225571000	5.3174791281	5.3276350719	5.2933069000	5.2742350396	5.3123787604	
4	6.9846281000	6.9558110879	7.0134451121	7.2946244000	7.2862422036	7.3030065964	6.6452697000	6.6402633077	6.6502760923	6.7803746000	6.7708855205	6.7898636795	6.7787773000	6.7634531939	6.7941014061	6.8236372000	6.8206045281	6.8266698719	6.0503471000	6.0211579317	6.0795362683	
8	8.3997298000	8.3796820067	8.4197775933	9.1184065000	9.0898994233	9.1469135767	8.8635402000	8.8496262499	8.8774541501	9.0744601000	9.0680435818	9.0808766182	9.0521523000	9.0374861535	9.0668184465	9.1869912000	9.1793668400	9.1946155600	7.9842766000	7.9522071417	8.0163460583	
10	9.4455163000	9.4155012586	9.4755313414	10.3751231000	10.3446413577	10.4056048423	10.1716359000	10.1558611176	10.1874106824	10.3852085000	10.3739589952	10.3964580048	10.3893823000	10.3802471060	10.3985174940	10.4633089000	10.4479000288	10.4787177712	9.3341764000	9.3016372432	9.3667155568	
16	9.5930012000	9.3427158810	9.8432865190	10.6060253000	10.4123100875	10.7997405125	9.4836292000	8.9320395924	10.0352188076	9.9783373000	9.7760018499	10.1806727501	9.8244352000	9.6621447004	9.9867256996	9.4582413000	9.3751034786	9.5413791214	9.5504361000	9.3267045694	9.7741676306	
20	9.9800376000	9.9387120894	10.0213631106	10.9847418000	10.8847935899	11.0846900101	10.7939273000	10.3677280007	11.2201265993	9.8774340000	9.5143931613	10.2404748387	10.0604214000	9.8033992415	10.3174435585	9.3417315000	9.2699243189	9.4135386811	9.3116306000	9.1185651601	9.5046960399	
