TABLE	"36 36 36"	"36 36 36"	"36 36 36"	"73 73 73"	"73 73 73"	"73 73 73"	"146 146 146"	"146 146 146"	"146 146 146"	"292 292 292"	"292 292 292"	"292 292 292"	"210 210 210"	"210 210 210"	"210 210 210"	"525 525 525"	"525 525 525"	"525 525 525"	"500 500 100"	"500 500 100"	"500 500 100"
1	2.6172886000	2.5948143771	2.6397628229	3.2423948000	3.2207196932	3.2640699068	2.9964425000	2.9738105540	3.0190744460	3.3079673000	3.2898374564	3.3260971436	2.9760790000	2.9399946167	3.0121633833	1.7154142000	1.7128432897	1.7179851103	3.0055627000	2.9911090492	3.0200163508	
2	4.6562265000	4.6081795088	4.7042734912	5.6483379000	5.6192590609	5.6774167391	5.3390689000	5.3111760876	5.3669617124	5.7281373000	5.7051173773	5.7511572227	5.2808282000	5.2462563740	5.3154000260	3.4057704000	3.4001007321	3.4114400679	5.2808138000	5.2315379090	5.3300896910	
4	8.1793219000	8.1291560714	8.2294877286	10.3044089000	10.2449525689	10.3638652311	9.7726605000	9.7181432590	9.8271777410	10.2270840000	10.1839299949	10.2702380051	9.5612591000	9.5136612784	9.6088569216	6.7606477000	6.7468669802	6.7744284198	9.5886824000	9.5281567933	9.6492080067	
8	11.4768077000	11.1898621619	11.7637532381	19.3936753000	19.2847602528	19.5025903472	12.9287769000	12.8171173735	13.0404364265	12.8697829000	12.7715681106	12.9679976894	12.7236669000	12.6547501849	12.7925836151	11.9655665000	11.9556359544	11.9754970456	11.8049933000	11.7238225927	11.8861640073	
10	12.5748637000	12.4753472226	12.6743801774	21.8681100000	21.7721587755	21.9640612245	13.1335698000	13.0459573002	13.2211822998	13.1133072000	13.0652642796	13.1613501204	13.0381262000	12.9856755893	13.0905768107	12.3448417000	12.3156870226	12.3739963774	11.7771404000	11.5939908403	11.9602899597	
16	8.3097609000	8.0499043904	8.5696174096	12.7140901000	12.1613355406	13.2668446594	12.7819835000	11.6197247530	13.9442422470	12.4230206000	11.3278383603	13.5182028397	12.4409752000	11.5543375988	13.3276128012	13.2178374000	12.9443112071	13.4913635929	11.2924504000	10.7376114452	11.8472893548	
20	8.3171759000	8.1559026422	8.4784491578	13.1069358000	12.6743167131	13.5395548869	13.9348083000	13.3073506700	14.5622659300	14.3243595000	13.9557162010	14.6930027990	13.4707064000	12.5436076589	14.3978051411	13.4758433000	13.1392279255	13.8124586745	13.6686311000	13.3334945466	14.0037676534	
